satellite_name,official_name,un_registry,country_operator,owner,users,purpose,orbit_class,orbit_type,geo_longitude,perigee_km,apogee_km,eccentricity,inclination_degrees,period_minutes,launch_mass_kg,launch_date,lifetime_years,contractor,contractor_country,launch_site,launch_vehicle,cospar_id,norad_id
1HOPSAT-TD (1st-generation High Optical Performance Satellite),1HOPSAT-TD,NR,USA,Hera Systems,Commercial,Earth Observation,LEO,Non-Polar Inclined,0.0,566.0,576.0,0.00151,36.9,96.08,22.0,2019-12-11,0.5,Hera Systems,USA,Satish Dhawan Space Centre,PSLV,2019-089H,44859
AAC AIS-Sat1 (Kelpie 1),AAC AIS-Sat1 (Kelpie 1),United Kingdom,United Kingdom,AAC Clyde Space,Commercial,Earth Observation,LEO,Sun-Synchronous,0.0,637.0,654.0,0.00151,98.0,95,4.0,2023-01-03,,AAC Clyde Space,Sweden/UK/USA/Netherlands,Cape Canaveral,Falcon 9,2023-001DC,55107
Aalto-1,Aalto-1,Finland,Finland,Aalto University,Civil,Technology Development,LEO,Sun-Synchronous,0.0,497.0,517.0,0.00145,97.45,94.7,5.0,2017-06-23,2.0,Aalto University,Finland,Satish Dhawan Space Centre,PSLV,2017-036L,42775
AAt-4,AAt-4,Denmark,Denmark,University of Aalborg,Civil,Earth Observation,LEO,Sun-Synchronous,0.0,442.0,687.0,0.00151,98.2,95.9,1.0,2016-04-25,,University of Aalborg,Denmark,Guiana Space Center,Soyuz-2.1a,2016-025E,41460
"ABS-2 (Koreasat-8, ST-3)",ABS-2,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,,75.0,35778.0,35793.0,0.000178,0.08,1436.03,6330.0,2014-02-06,15.0,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2014-006A,39508
ABS-2A,ABS-2A,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,,-75.0,35700.0,35700.0,0.0,0.0,1436.1,1800.0,2016-06-15,15.0,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2016-038A,41588
ABS-3A,ABS-3A,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,,-3.0,35788.0,35803.0,0.000178,0.1,1436,2000.0,2015-03-02,15.0,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2015-010A,40424
"ABS-4 (ABS-2i, MBSat, Mobile Broadcasting Satellite, Han Byul)",ABS-4,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,,75.0,35780.0,35793.0,0.000154,0.01,1436.1,4143.0,2004-03-13,12.0,Space Systems/Loral,USA,Cape Canaveral,Atlas 3,2004-007A,28184
"ABS-6 (ABS-1, LMI-1, Lockheed Martin-Intersputnik-1)",ABS-6,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,,159.0,35777.0,35794.0,0.000202,0.01,1436.08,2894.0,1999-09-26,15.0,Lockheed Martin,USA,Baikonur Cosmodrome,Proton,1999-053A,25924
Adelis-Sampson 1,Adelis-Sampson 1,NR,Israel,Asher Space Research Institute at Technion/Israeli Aircraft Industries,Government,Technology Development,LEO,Sun-Synchronous,0.0,538.0,561.0,0.00166,97.5,95.5,9.0,2021-03-22,,Asher Space Research Institute at Technion/Israeli Aircraft Industries,Israel,Baikonur Cosmodrome,Soyuz-2.1a,2021-022F,47937
